case_id,replacement_id,theme,result,question,expected_points,answer,expected_sources,retrieved_sources,runtime_s,comment
CASE-022,,RFPI,Correct,Un locataire est parti en laissant 700 € de charges récupérables impayées. Est-ce que je peux les déduire de mes revenus fonciers ?,Les charges locatives sont en principe à la charge du locataire.; Les charges locatives non remboursées par le locataire à son départ peuvent être déductibles sous conditions.; Il faut vérifier qu’elles n’ont pas été remboursées au 31 décembre de l’année du départ et qu’elles sont justifiées.,"Non, les 700 € de charges récupérables impayées ne sont pas déductibles de vos revenus fonciers.",BOI-RFPI-BASE-20-40; BOI-RFPI-DECLA-20,BOI-RFPI-DECLA-20; BOI-RFPI-BASE-20-30-10; BOI-RFPI-BASE-20-30-20; BOI-RFPI-SPEC-30-20-10; BOI-RFPI-DECLA-10; BOI-RFPI-BASE-20-60,203.38,Réponse exploitable
CASE-023,,RFPI,Correct,Je loue un appartement vide au régime réel et je paie la taxe foncière du logement. Est-ce que cette taxe est déductible de mes revenus fonciers ?,"Au régime réel des revenus fonciers, certaines impositions liées à l’immeuble donné en location peuvent être déductibles.; La taxe foncière supportée par le propriétaire peut être admise en déduction selon les règles BOFiP, hors fractions récupérables auprès du locataire le cas échéant.; Il faut vérifier le régime réel, l’affectation du logement à la location et l’année de paiement.","Oui, la taxe foncière est déductible des revenus fonciers sous le régime réel pour un appartement loué nu.",BOI-RFPI-DECLA-20; BOI-RFPI-BASE-20-50,BOI-RFPI-DECLA-20,54.03,Réponse exploitable
CASE-024,,ENR,Correct,Mon père est décédé et je suis bénéficiaire d’un contrat d’assurance-vie. Est-ce que c’est traité comme une succession classique ?,"Le traitement fiscal des capitaux d’assurance-vie au décès dépend notamment de l’âge de l’assuré lors du versement des primes et du régime applicable.; Ne pas assimiler automatiquement à l’actif successoral classique.; Demander date de souscription, date et montant des primes, âge au versement, bénéficiaire et montant reçu.","Non, l'assurance-vie n'est pas traitée comme une succession classique : les sommes versées au bénéficiaire déterminé ne font pas partie de la succession et sont soumises à un prélèvement spécifique avec un abattement de 152 500 € par bénéficiaire.",BOI-ENR-DMTG-10-10-20-20; BOI-TCAS-AUT-60,BOI-RPPM-RCM-30-10-20-10; BOI-RPPM-RCM-20-10-20-50; BOI-RPPM-RCM-30-10-20-20; BOI-RPPM-RCM-30-10-10-40; BOI-ENR-DMTG-10-10-20-20,187.86,Réponse exploitable
CASE-025,,ENR,Correct,"Dans une succession, peut-on déduire les frais d’obsèques avant de calculer les droits ?","Les frais funéraires peuvent être admis au passif de succession dans certaines limites et conditions.; Il faut vérifier le montant, les justificatifs et le plafond applicable dans le BOFiP.; Ne pas déduire tous les frais sans limite.","Oui, les frais d'obsèques sont déductibles de l'actif successoral pour un montant forfaitaire de 1 500 € (ou la totalité de l'actif si celui-ci est inférieur à ce montant), sans nécessité de justification [3].",BOI-ENR-DMTG-10-40-20-10,BOI-ENR-DMTG-10-40-20-10,41.03,Réponse exploitable
CASE-026,,ENR,Correct,"Au décès de ma mère, il reste un prêt immobilier et des factures non payées. Quelles dettes peut-on déduire pour les droits de succession ?","Les dettes existant au jour du décès peuvent être déductibles sous conditions.; Il faut vérifier la réalité, la justification, l’exigibilité et les exclusions éventuelles.; Demander la nature des dettes, les justificatifs, la date de naissance de la dette et le débiteur.","Oui, le prêt immobilier et les factures impayées sont déductibles de l'actif successoral sous réserve de justifier de leur existence au jour du décès et qu'elles soient à la charge personnelle du défunt, sauf exceptions légales.",BOI-ENR-DMTG-10-40-20-10; BOI-ENR-DMTG-10-40-20-20,BOI-ENR-PTG-10-20; BOI-ENR-DMTG-10-20-30-20; BOI-ENR-DMTG-10-20-30-90; BOI-ENR-DMTG-10-40-20-10; BOI-ENR-DMTG-10-40-20-20; BOI-ENR-DMTG-10-20-30-100; BOI-ENR-DMTG-20-30-10,199.46,Réponse exploitable
CASE-027,,ENR,Faux,Ma sœur veut me donner 20 000 €. Est-ce qu’il y aura des droits à payer ?,Identifier une donation entre collatéraux.; Vérifier l’abattement applicable entre frères et sœurs et les donations antérieures.; Calculer les droits uniquement si le tarif et les informations nécessaires sont récupérés.; Ne pas appliquer l’abattement parent-enfant.,Impossible de déterminer les droits à payer car le montant de l'abattement entre frères et sœurs et le barème des droits ne sont pas fournis dans les extraits.,BOI-ENR-DMTG-10-50-20; BOI-ENR-DMTG-20-30-20-20; BOI-ENR-DMTG-10-50-50,BOI-ENR-DMTG-10-50-50; BOI-ENR-DMTG-20-30-10; BOI-ENR-DMTG-20-20-20; BOI-ENR-DMTG-10-20-10; BOI-ENR-DMTG-10-10-10-10; BOI-ENR-DMTG-20-30-20-60,217.94,Échec conservé dans le benchmark
CASE-028,,PAT_IFI,Correct,"J’ai l’usufruit d’un appartement et mes enfants en ont la nue-propriété. Pour l’IFI, qui doit déclarer la valeur du bien ?","En matière d’IFI, les biens grevés d’usufruit sont en principe compris dans le patrimoine de l’usufruitier pour leur valeur en pleine propriété, sauf cas particuliers.; Il faut vérifier l’origine du démembrement et les exceptions éventuelles.; Les nus-propriétaires ne déclarent pas nécessairement leur seule nue-propriété si le principe s’applique.",C'est l'usufruitier (le contribuable) qui doit déclarer la valeur du bien en pleine propriété pour l'IFI.,BOI-PAT-IFI-20-20-30-10; BOI-PAT-IFI-30-10-10-20,BOI-PAT-IFI-20-20-30-10; BOI-PAT-IFI-20-30-10,202.13,Réponse exploitable
CASE-029,,PAT_IFI,Correct,"Je possède 40 % d’une société non cotée. La société vaut 1 000 000 € et son seul immeuble vaut 600 000 €, le reste étant de la trésorerie et du matériel. Comment raisonner pour l’IFI ?","Les parts de sociétés peuvent être imposables à l’IFI à hauteur de la fraction de leur valeur représentative d’actifs immobiliers imposables.; Le calcul attendu applique un coefficient immobilier aux parts détenues, sous réserve des dettes et exclusions.; Ne pas imposer toute la valeur des parts sans ratio immobilier.",La valeur imposable à l'IFI des parts de l'utilisateur est de 240 000 €.,BOI-PAT-IFI-20-20-20-10; BOI-PAT-IFI-20-30-10,BOI-PAT-IFI-20-20-20-10; BOI-PAT-IFI-20-30-10; BOI-PAT-IFI-30-10-50; BOI-PAT-IFI-20-30-30,225.79,Réponse exploitable
CASE-030,,PAT_IFI,Correct,Je possède des bois et forêts dans mon patrimoine. Est-ce qu’ils sont imposables en totalité à l’IFI ?,"Les bois et forêts peuvent bénéficier d’une exonération partielle d’IFI sous conditions.; Il faut vérifier les engagements, certificats et conditions BOFiP.; Ne pas exclure totalement sans vérifier les conditions.","Non, les bois et forêts ne sont pas intégralement imposables à l'IFI. Ils bénéficient d'une exonération partielle à concurrence des trois quarts de leur valeur vénale, sous conditions (plan de gestion agréé, engagement trentenaire, certificat). Seul le quart restant est imposable.",BOI-PAT-IFI-30-20,BOI-IF-TFNB-10-40-10-80; BOI-IF-CFE-10-30-50-60; BOI-PAT-IFI-30-20; BOI-IF-TFNB-10-20; BOI-ENR-DMTG-10-20-30-10; BOI-IF-TFNB-10-40-10-40; BOI-IF-TH-10-20-20,213.14,Réponse exploitable
CASE-031,,PAT_IFI,Correct,Je détiens des parts d’une société opérationnelle qui possède ses locaux d’exploitation. Est-ce que la valeur de ces locaux entre dans mon IFI ?,"Les actifs affectés à l’activité opérationnelle peuvent être exonérés d’IFI sous conditions.; Il faut vérifier les fonctions exercées, la rémunération, l’activité de la société et l’affectation des actifs.; Ne pas conclure sans connaître le rôle du redevable dans la société.","Non, la valeur des locaux d'exploitation détenus par la société opérationnelle n'entre pas dans l'assiette de l'IFI, car ces biens sont exclus de la détermination de la valeur imposable des parts lorsqu'ils sont affectés à l'activité industrielle, commerciale, artisanale, agricole ou libérale de la société.",BOI-PAT-IFI-30-10-30-10; BOI-PAT-IFI-20-20-20-10,BOI-PAT-IFI-20-20-20-10; BOI-INT-CVB-DZA-50; BOI-PAT-IFI-30-10-10-10; BOI-PAT-IFI-30-20; BOI-PAT-IFI-30-10-50,233.38,Réponse exploitable
CASE-032,,RSA,Faux,Mon enfant apprenti a gagné 14 000 € en 2024. Est-ce que tout doit être déclaré dans notre revenu imposable ?,"Les salaires d’apprentis bénéficient d’une exonération dans une certaine limite.; Seule la fraction qui excède la limite d’exonération doit être déclarée, si la limite est dépassée.; Il faut récupérer la limite BOFiP applicable à l’année.","Oui, si votre enfant apprenti est rattaché à votre foyer fiscal, l'intégralité de sa rémunération de 14 000 € doit être déclarée dans votre revenu imposable.",BOI-RSA-CHAMP-20-50-50,BOI-RPPM-RCM-20-10-20-60; BOI-IR-BASE-40; BOI-RPPM-RCM-20-10-20-50; BOI-RPPM-RCM-20-15; BOI-RPPM-RCM-20-10-20-70; BOI-RPPM-RCM-20-10-20-20; BOI-RPPM-RCM-30-10-10-40,136.68,Échec conservé dans le benchmark
CASE-033,REPL-RSA-001,RSA,Correct,Mon employeur me rembourse les kilomètres parcourus avec ma voiture personnelle pour aller chez des clients. Est-ce que ce remboursement est imposable comme salaire ?,Les remboursements de frais professionnels peuvent ne pas être imposables s'ils correspondent à des frais engagés dans l'intérêt de l'emploi.; Il faut vérifier que le déplacement est professionnel et que l'indemnité respecte les règles d'évaluation admises.; Les trajets personnels ou domicile-travail doivent être distingués des déplacements professionnels.,Le remboursement kilométrique n'est pas imposable comme salaire s'il est versé pour des déplacements professionnels et ne dépasse pas le barème administratif. L'excédent éventuel est imposable.,BOI-RSA-CHAMP-20-50-10-20; BOI-RSA-BASE-30-50-30-20,BOI-RSA-BASE-30-50-30-20; BOI-RSA-BASE-30-50-30-30; BOI-RSA-CHAMP-20-50-10-20; BOI-RSA-BASE-30-50-30-40,183.82,Remplacement même famille RSA validé par run isolé.
CASE-034,,RSA,Faux,"Au lieu de me loger, mon employeur me verse une indemnité pour compenser le logement que je devrais recevoir. Est-ce imposable ?",Une indemnité représentative d’un avantage en nature peut être imposable comme l’avantage qu’elle remplace.; Il faut vérifier la nature de l’indemnité et le droit à l’avantage initial.; Ne pas traiter comme remboursement de frais professionnels sans justification.,"Oui, l'indemnité versée en substitution du logement est imposable dans la catégorie des traitements et salaires.",BOI-RSA-CHAMP-20-30-10-10; BOI-RSA-CHAMP-20-30-50,BOI-RSA-CHAMP-20-40-10-20; BOI-RSA-BASE-30-50-30-20; BOI-RSA-CHAMP-10-40-30; BOI-RSA-CHAMP-20-40-10-30; BOI-RSA-BASE-20-20,121.58,Échec conservé dans le benchmark
